path,top_dir,biz_category,code_kind,language,effective_loc
corelib/remote/session_template.go,corelib,Backend/Core,prod,Go,129
corelib/remote/startup_responder.go,corelib,Backend/Core,prod,Go,189
corelib/remote/status_types.go,corelib,Backend/Core,prod,Go,82
corelib/remote/summary_reducer.go,corelib,Backend/Core,prod,Go,146
corelib/remote/tool_catalog.go,corelib,Backend/Core,prod,Go,104
corelib/remote/tool_resolver.go,corelib,Backend/Core,prod,Go,155
corelib/remote/types.go,corelib,Backend/Core,prod,Go,191
corelib/remote/workspace.go,corelib,Backend/Core,prod,Go,248
corelib/scheduler/calendar.go,corelib,Backend/Core,prod,Go,123
corelib/scheduler/doc.go,corelib,Backend/Core,prod,Go,1
corelib/scheduler/task.go,corelib,Backend/Core,prod,Go,577
corelib/security/audit_log.go,corelib,Backend/Core,prod,Go,262
corelib/security/firewall.go,corelib,Backend/Core,prod,Go,128
corelib/security/llm_review.go,corelib,Backend/Core,prod,Go,103
corelib/security/policy_engine.go,corelib,Backend/Core,prod,Go,164
corelib/security/risk_analyzer.go,corelib,Backend/Core,prod,Go,187
corelib/security/risk_assessor.go,corelib,Backend/Core,prod,Go,159
corelib/security/types.go,corelib,Backend/Core,prod,Go,87
corelib/session/doc.go,corelib,Backend/Core,prod,Go,1
corelib/skill/doc.go,corelib,Backend/Core,prod,Go,1
corelib/swarm/conflict.go,corelib,Backend/Core,prod,Go,72
corelib/swarm/doc.go,corelib,Backend/Core,prod,Go,1
corelib/swarm/notifier.go,corelib,Backend/Core,prod,Go,130
corelib/swarm/types.go,corelib,Backend/Core,prod,Go,235
corelib/swarm/worktree.go,corelib,Backend/Core,prod,Go,189
corelib/telegram/gateway.go,corelib,Backend/Core,prod,Go,341
corelib/textutil/markdown_strip.go,corelib,Backend/Core,prod,Go,52
corelib/tool/builder.go,corelib,Backend/Core,prod,Go,160
corelib/tool/craft.go,corelib,Backend/Core,prod,Go,196
corelib/tool/definition.go,corelib,Backend/Core,prod,Go,182
corelib/tool/doc.go,corelib,Backend/Core,prod,Go,1
corelib/tool/launch.go,corelib,Backend/Core,prod,Go,20
corelib/tool/non_code.go,corelib,Backend/Core,prod,Go,114
corelib/tool/registry.go,corelib,Backend/Core,prod,Go,128
corelib/tool/router.go,corelib,Backend/Core,prod,Go,205
corelib/tool/router_bm25_test.go,corelib,Backend/Core,test,Go,108
corelib/tool/selector.go,corelib,Backend/Core,prod,Go,154
corelib/tool/types.go,corelib,Backend/Core,prod,Go,40
corelib/types.go,corelib,Backend/Core,prod,Go,139
corelib/types_property_test.go,corelib,Backend/Core,test,Go,62
corelib/weixin/gateway.go,corelib,Backend/Core,prod,Go,1117
deploy_all.cmd,(root),Tools/Scripts,prod,Batch,285
deploy_all_tiger.cmd,(root),Tools/Scripts,prod,Batch,290
gui/agent_loop_context.go,gui,Backend/Core,prod,Go,146
gui/agent_loop_context_test.go,gui,Backend/Core,test,Go,159
gui/ai_assistant_property_test.go,gui,Backend/Core,test,Go,164
gui/android_pwa_shell.go,gui,Backend/Core,prod,Go,1417
gui/android_pwa_shell_test.go,gui,Backend/Core,test,Go,185
gui/app.go,gui,Backend/Core,prod,Go,4894
gui/app_clawnet.go,gui,Backend/Core,prod,Go,1132
gui/app_gossip.go,gui,Backend/Core,prod,Go,41
gui/app_maclaw_llm.go,gui,Backend/Core,prod,Go,513
gui/app_maclaw_llm_test.go,gui,Backend/Core,test,Go,83
gui/app_nl_mcp.go,gui,Backend/Core,prod,Go,519
gui/app_nl_skills.go,gui,Backend/Core,prod,Go,947
gui/app_swarm_bindings.go,gui,Backend/Core,prod,Go,83
gui/app_wails_bindings.go,gui,Backend/Core,prod,Go,470
gui/audit_log.go,gui,Backend/Core,prod,Go,262
gui/audit_log_test.go,gui,Backend/Core,test,Go,280
gui/auto_upload_trigger.go,gui,Backend/Core,prod,Go,92
gui/auto_upload_trigger_test.go,gui,Backend/Core,test,Go,70
gui/background_loop_manager.go,gui,Backend/Core,prod,Go,223
gui/background_loop_manager_test.go,gui,Backend/Core,test,Go,197
gui/capability_gap_detector.go,gui,Backend/Core,prod,Go,428
gui/capability_gap_detector_test.go,gui,Backend/Core,test,Go,100
gui/clawnet_auto_task_picker.go,gui,Backend/Core,prod,Go,447
gui/clawnet_client.go,gui,Backend/Core,prod,Go,917
gui/clawnet_client_test.go,gui,Backend/Core,test,Go,69
gui/clawnet_installer.go,gui,Backend/Core,prod,Go,154
gui/common.go,gui,Backend/Core,prod,Go,29
gui/config_manager.go,gui,Backend/Core,prod,Go,725
gui/context_bridge.go,gui,Backend/Core,prod,Go,160
gui/context_bridge_test.go,gui,Backend/Core,test,Go,123
gui/conversation_archiver.go,gui,Backend/Core,prod,Go,90
gui/corelib_aliases.go,gui,Backend/Core,prod,Go,168
gui/env_check_api.go,gui,Backend/Core,prod,Go,57
gui/experience_extractor.go,gui,Backend/Core,prod,Go,254
gui/frontend/index.html,gui,Frontend,prod,HTML,13
gui/frontend/src/App.css,gui,Frontend,prod,CSS,1002
gui/frontend/src/App.tsx,gui,Frontend,prod,TypeScript/TSX,6537
gui/frontend/src/components/CustomDialog.tsx,gui,Frontend,prod,TypeScript/TSX,89
gui/frontend/src/components/ai/AIAssistantPanel.tsx,gui,Frontend,prod,TypeScript/TSX,667
gui/frontend/src/components/ai/__tests__/AIAssistantPanel.test.tsx,gui,Frontend,test,TypeScript/TSX,82
gui/frontend/src/components/ai/__tests__/i18nLabel.test.tsx,gui,Frontend,test,TypeScript/TSX,35
gui/frontend/src/components/ai/__tests__/useAIAssistant.test.ts,gui,Frontend,test,TypeScript,137
gui/frontend/src/components/ai/useAIAssistant.ts,gui,Frontend,prod,TypeScript,180
gui/frontend/src/components/gossip/GossipPanel.tsx,gui,Frontend,prod,TypeScript/TSX,397
gui/frontend/src/components/remote/ClawNetChatPanel.tsx,gui,Frontend,prod,TypeScript/TSX,243
gui/frontend/src/components/remote/ClawNetKnowledgePanel.tsx,gui,Frontend,prod,TypeScript/TSX,165
gui/frontend/src/components/remote/ClawNetNutshellPanel.tsx,gui,Frontend,prod,TypeScript/TSX,257
gui/frontend/src/components/remote/ClawNetPanel.tsx,gui,Frontend,prod,TypeScript/TSX,834
gui/frontend/src/components/remote/ClawNetPredictionPanel.tsx,gui,Frontend,prod,TypeScript/TSX,233
gui/frontend/src/components/remote/ClawNetResumePanel.tsx,gui,Frontend,prod,TypeScript/TSX,172
gui/frontend/src/components/remote/ClawNetSwarmPanel.tsx,gui,Frontend,prod,TypeScript/TSX,166
gui/frontend/src/components/remote/ClawNetTabContainer.tsx,gui,Frontend,prod,TypeScript/TSX,102
gui/frontend/src/components/remote/ClawNetTaskBoard.tsx,gui,Frontend,prod,TypeScript/TSX,372
gui/frontend/src/components/remote/LLMConfigPanel.tsx,gui,Frontend,prod,TypeScript/TSX,859
gui/frontend/src/components/remote/MCPManagementPanel.tsx,gui,Frontend,prod,TypeScript/TSX,888
gui/frontend/src/components/remote/MaclawRolePanel.tsx,gui,Frontend,prod,TypeScript/TSX,110
gui/frontend/src/components/remote/MemoryManagementPanel.tsx,gui,Frontend,prod,TypeScript/TSX,492
gui/frontend/src/components/remote/OnboardingWizard.tsx,gui,Frontend,prod,TypeScript/TSX,624
gui/frontend/src/components/remote/RemoteDiagnosticsPanel.tsx,gui,Frontend,prod,TypeScript/TSX,128
gui/frontend/src/components/remote/RemoteRoutingCard.tsx,gui,Frontend,prod,TypeScript/TSX,167
gui/frontend/src/components/remote/RemoteSessionCard.tsx,gui,Frontend,prod,TypeScript/TSX,399
gui/frontend/src/components/remote/RemoteSessionConsole.tsx,gui,Frontend,prod,TypeScript/TSX,808
gui/frontend/src/components/remote/RemoteSessionList.tsx,gui,Frontend,prod,TypeScript/TSX,591
gui/frontend/src/components/remote/RemoteSettingsPanel.tsx,gui,Frontend,prod,TypeScript/TSX,399
gui/frontend/src/components/remote/RemoteSmokeSummaryCard.tsx,gui,Frontend,prod,TypeScript/TSX,52
gui/frontend/src/components/remote/RemoteStatusCards.tsx,gui,Frontend,prod,TypeScript/TSX,23
gui/frontend/src/components/remote/RemoteToolDiagnosticsCard.tsx,gui,Frontend,prod,TypeScript/TSX,97
gui/frontend/src/components/remote/ScheduledTasksPanel.tsx,gui,Frontend,prod,TypeScript/TSX,314
gui/frontend/src/components/remote/SecurityPolicyPanel.tsx,gui,Frontend,prod,TypeScript/TSX,99
gui/frontend/src/components/remote/SkillsManagementPanel.tsx,gui,Frontend,prod,TypeScript/TSX,1087
gui/frontend/src/components/remote/UsageDisplay.tsx,gui,Frontend,prod,TypeScript/TSX,80
gui/frontend/src/components/remote/clawnetStyles.ts,gui,Frontend,prod,TypeScript,61
gui/frontend/src/components/remote/helpers.ts,gui,Frontend,prod,TypeScript,230
gui/frontend/src/components/remote/providerLogos.tsx,gui,Frontend,prod,TypeScript/TSX,25
gui/frontend/src/components/remote/styles.ts,gui,Frontend,prod,TypeScript,138
gui/frontend/src/components/remote/types.ts,gui,Frontend,prod,TypeScript,170
gui/frontend/src/components/remote/useRemotePanel.ts,gui,Frontend,prod,TypeScript,653
gui/frontend/src/main.tsx,gui,Frontend,prod,TypeScript/TSX,14
gui/frontend/src/style.css,gui,Frontend,prod,CSS,39
gui/frontend/src/version.ts,gui,Frontend,prod,TypeScript,2
gui/frontend/vite.config.ts,gui,Frontend,prod,TypeScript,5
gui/frontend/vitest.config.ts,gui,Frontend,prod,TypeScript,10
gui/frontend/vitest.setup.ts,gui,Frontend,prod,TypeScript,1
gui/gossip_auto_publish.go,gui,Backend/Core,prod,Go,184
gui/gossip_client.go,gui,Backend/Core,prod,Go,283
gui/hub_http_client.go,gui,Backend/Core,prod,Go,12
gui/im_message_handler.go,gui,Backend/Core,prod,Go,3961
gui/im_message_handler_bgloop_test.go,gui,Backend/Core,test,Go,222
gui/im_message_handler_busy_session_test.go,gui,Backend/Core,test,Go,336
gui/im_message_handler_coding_workflow_test.go,gui,Backend/Core,test,Go,248
gui/im_message_handler_tools_test.go,gui,Backend/Core,test,Go,865
gui/internal/systray/example/main.go,gui,Backend/Core,prod,Go,139
gui/internal/systray/icon/iconunix.go,gui,Backend/Core,prod,Go,190
gui/internal/systray/icon/iconwin.go,gui,Backend/Core,prod,Go,361
gui/internal/systray/internal/DbusMenu.xml,gui,Backend/Core,prod,XML,57
gui/internal/systray/internal/StatusNotifierItem.xml,gui,Backend/Core,prod,XML,56
gui/internal/systray/systray.go,gui,Backend/Core,prod,Go,188
gui/internal/systray/systray.h,gui,Backend/Core,prod,C/C Header,24
gui/internal/systray/systray_darwin.go,gui,Backend/Core,prod,Go,236
gui/internal/systray/systray_darwin.m,gui,Backend/Core,prod,Objective-C,360
gui/internal/systray/systray_menu_unix.go,gui,Backend/Core,prod,Go,261
gui/internal/systray/systray_other.go,gui,Backend/Core,prod,Go,5
gui/internal/systray/systray_unix.go,gui,Backend/Core,prod,Go,394
gui/internal/systray/systray_windows.go,gui,Backend/Core,prod,Go,948
gui/llm_request_helper.go,gui,Backend/Core,prod,Go,148
