path,top_dir,biz_category,code_kind,language,effective_loc
gui/swarm_worktree.go,gui,Backend/Core,prod,Go,181
gui/swarm_worktree_test.go,gui,Backend/Core,test,Go,276
gui/tag_generator.go,gui,Backend/Core,prod,Go,152
gui/tag_generator_test.go,gui,Backend/Core,test,Go,160
gui/task_orchestrator.go,gui,Backend/Core,prod,Go,281
gui/task_orchestrator_test.go,gui,Backend/Core,test,Go,100
gui/telegram_gateway.go,gui,Backend/Core,prod,Go,402
gui/tool_builder.go,gui,Backend/Core,prod,Go,58
gui/tool_builder_test.go,gui,Backend/Core,test,Go,118
gui/tool_craft.go,gui,Backend/Core,prod,Go,323
gui/tool_craft_test.go,gui,Backend/Core,test,Go,160
gui/tool_definition_generator.go,gui,Backend/Core,prod,Go,161
gui/tool_definition_generator_test.go,gui,Backend/Core,test,Go,231
gui/tool_manager.go,gui,Backend/Core,prod,Go,627
gui/tool_onboarding.go,gui,Backend/Core,prod,Go,154
gui/tool_onboarding_test.go,gui,Backend/Core,test,Go,540
gui/tool_registry.go,gui,Backend/Core,prod,Go,142
